Correlation,Subcompetentie 1,Subcompetentie 2,Hoofdcompetentie 1,Hoofdcompetentie 2
0.3218165268736122,Aansturen van groepen,Samenwerking,Beïnvloedend vermogen,Relationeel vermogen
0.21377668046556947,Aansturen van groepen,Sensitiviteit,Beïnvloedend vermogen,Relationeel vermogen
0.4679248390232954,Aansturen van groepen,Sociabiliteit,Beïnvloedend vermogen,Relationeel vermogen
0.5439505426438439,Aansturen van groepen,Stressbestendigheid,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.7054356551621831,Aansturen van groepen,Voortgangscontrole,Beïnvloedend vermogen,Organisatie vermogen
0.2972355096611522,Aansturen van groepen,Zelfstandigheid,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.42604740809101904,Aansturen van individuen,Ambitie,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.41262305287947915,Aansturen van individuen,Assertiviteit,Beïnvloedend vermogen,Relationeel vermogen
0.32489557436628774,Aansturen van individuen,Besluitvaardigheid,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.7967952111823647,Aansturen van individuen,Coachen van medewerkers,Beïnvloedend vermogen,Beïnvloedend vermogen
0.568359617953384,Aansturen van individuen,Delegeren,Beïnvloedend vermogen,Organisatie vermogen
0.6397481048211195,Aansturen van individuen,Doorzettingsvermogen,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.5746880707965961,Aansturen van individuen,Flexibiliteit,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.8073418847198249,Aansturen van individuen,Initiatief,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.7018861430210402,Aansturen van individuen,Inzet,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.7699779495276663,Aansturen van individuen,Klantoriëntatie,Beïnvloedend vermogen,Organisatiegerichtheid
0.23948753261148678,Aansturen van individuen,Kwaliteitsgerichtheid,Beïnvloedend vermogen,Organisatiegerichtheid
0.3569626052500806,Aansturen van individuen,Leerbereidheid,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.2401354966112676,Aansturen van individuen,Nauwkeurigheid,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.7859958164951781,Aansturen van individuen,Onderhandelen,Beïnvloedend vermogen,Beïnvloedend vermogen
0.7853665742114471,Aansturen van individuen,Ondernemerschap,Beïnvloedend vermogen,Organisatiegerichtheid
0.8117229628080123,Aansturen van individuen,Optreden,Beïnvloedend vermogen,Relationeel vermogen
0.5782391255937329,Aansturen van individuen,Organisatiesensitiviteit,Beïnvloedend vermogen,Organisatiegerichtheid
0.772519581711882,Aansturen van individuen,Overtuigingskracht,Beïnvloedend vermogen,Beïnvloedend vermogen
0.5901548935070695,Aansturen van individuen,Plannen en organiseren,Beïnvloedend vermogen,Organisatie vermogen
0.7851627734033173,Aansturen van individuen,Relatiebeheer,Beïnvloedend vermogen,Relationeel vermogen
0.5169693568491394,Aansturen van individuen,Resultaatgerichtheid,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.5225433717727681,Aansturen van individuen,Samenwerking,Beïnvloedend vermogen,Relationeel vermogen
0.6419212818213189,Aansturen van individuen,Sensitiviteit,Beïnvloedend vermogen,Relationeel vermogen
0.7618276817560911,Aansturen van individuen,Sociabiliteit,Beïnvloedend vermogen,Relationeel vermogen
0.5576975252395636,Aansturen van individuen,Stressbestendigheid,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.6684927892727607,Aansturen van individuen,Voortgangscontrole,Beïnvloedend vermogen,Organisatie vermogen
0.12592815110061734,Aansturen van individuen,Zelfstandigheid,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.3386851308409402,Ambitie,Assertiviteit,Persoonlijke gerichtheid,Relationeel vermogen
0.22112881242969915,Ambitie,Besluitvaardigheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.257242871972528,Ambitie,Coachen van medewerkers,Persoonlijke gerichtheid,Beïnvloedend vermogen
0.23423135359851435,Ambitie,Delegeren,Persoonlijke gerichtheid,Organisatie vermogen
0.6585685423666529,Ambitie,Doorzettingsvermogen,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.4606707797463495,Ambitie,Flexibiliteit,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.4184167038895746,Ambitie,Initiatief,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.6016280860747805,Ambitie,Inzet,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.39950879849948845,Ambitie,Klantoriëntatie,Persoonlijke gerichtheid,Organisatiegerichtheid
0.35199324518503355,Ambitie,Kwaliteitsgerichtheid,Persoonlijke gerichtheid,Organisatiegerichtheid
0.6019354550421844,Ambitie,Leerbereidheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.33157890799108797,Ambitie,Nauwkeurigheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.6400479127896235,Ambitie,Onderhandelen,Persoonlijke gerichtheid,Beïnvloedend vermogen
0.732524794942112,Ambitie,Ondernemerschap,Persoonlijke gerichtheid,Organisatiegerichtheid
0.5441602470808725,Ambitie,Optreden,Persoonlijke gerichtheid,Relationeel vermogen
0.21601305165284362,Ambitie,Organisatiesensitiviteit,Persoonlijke gerichtheid,Organisatiegerichtheid
0.3606821708651518,Ambitie,Overtuigingskracht,Persoonlijke gerichtheid,Beïnvloedend vermogen
0.5417124514209937,Ambitie,Plannen en organiseren,Persoonlijke gerichtheid,Organisatie vermogen
0.5892376565419551,Ambitie,Relatiebeheer,Persoonlijke gerichtheid,Relationeel vermogen
0.9200452757126188,Ambitie,Resultaatgerichtheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.1764190732685835,Ambitie,Samenwerking,Persoonlijke gerichtheid,Relationeel vermogen
0.21337789970888332,Ambitie,Sensitiviteit,Persoonlijke gerichtheid,Relationeel vermogen
0.35076967905757417,Ambitie,Sociabiliteit,Persoonlijke gerichtheid,Relationeel vermogen
0.30261597340882845,Ambitie,Stressbestendigheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.5246404330110591,Ambitie,Voortgangscontrole,Persoonlijke gerichtheid,Organisatie vermogen
0.02290237280916672,Ambitie,Zelfstandigheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.74177561238412,Assertiviteit,Besluitvaardigheid,Relationeel vermogen,Persoonlijke gerichtheid
-0.01736675367015425,Assertiviteit,Coachen van medewerkers,Relationeel vermogen,Beïnvloedend vermogen
0.025883544777204184,Assertiviteit,Delegeren,Relationeel vermogen,Organisatie vermogen
0.3903249335983761,Assertiviteit,Doorzettingsvermogen,Relationeel vermogen,Persoonlijke gerichtheid
0.23024600717689148,Assertiviteit,Flexibiliteit,Relationeel vermogen,Persoonlijke gerichtheid
0.47912451209115414,Assertiviteit,Initiatief,Relationeel vermogen,Persoonlijke gerichtheid
0.3638490061864685,Assertiviteit,Inzet,Relationeel vermogen,Persoonlijke gerichtheid
0.11463591408892476,Assertiviteit,Klantoriëntatie,Relationeel vermogen,Organisatiegerichtheid
0.13368257092694272,Assertiviteit,Kwaliteitsgerichtheid,Relationeel vermogen,Organisatiegerichtheid
-0.04524879523079842,Assertiviteit,Leerbereidheid,Relationeel vermogen,Persoonlijke gerichtheid
0.14845083627829994,Assertiviteit,Nauwkeurigheid,Relationeel vermogen,Persoonlijke gerichtheid
0.6741487191555032,Assertiviteit,Onderhandelen,Relationeel vermogen,Beïnvloedend vermogen
0.6095584379064186,Assertiviteit,Ondernemerschap,Relationeel vermogen,Organisatiegerichtheid
0.574792349041666,Assertiviteit,Optreden,Relationeel vermogen,Relationeel vermogen
-0.313024873817867,Assertiviteit,Organisatiesensitiviteit,Relationeel vermogen,Organisatiegerichtheid
0.7095102785981792,Assertiviteit,Overtuigingskracht,Relationeel vermogen,Beïnvloedend vermogen
0.3101827456373226,Assertiviteit,Plannen en organiseren,Relationeel vermogen,Organisatie vermogen
0.35891336606254676,Assertiviteit,Relatiebeheer,Relationeel vermogen,Relationeel vermogen
0.41977863363574813,Assertiviteit,Resultaatgerichtheid,Relationeel vermogen,Persoonlijke gerichtheid
-0.19241469553014398,Assertiviteit,Samenwerking,Relationeel vermogen,Relationeel vermogen
-0.19769210086508757,Assertiviteit,Sensitiviteit,Relationeel vermogen,Relationeel vermogen
0.12271614117797855,Assertiviteit,Sociabiliteit,Relationeel vermogen,Relationeel vermogen
0.32708212832609884,Assertiviteit,Stressbestendigheid,Relationeel vermogen,Persoonlijke gerichtheid
0.42625176311499363,Assertiviteit,Voortgangscontrole,Relationeel vermogen,Organisatie vermogen
0.7541834939216961,Assertiviteit,Zelfstandigheid,Relationeel vermogen,Persoonlijke gerichtheid
0.036069962727421016,Besluitvaardigheid,Coachen van medewerkers,Persoonlijke gerichtheid,Beïnvloedend vermogen
0.19614817490833597,Besluitvaardigheid,Delegeren,Persoonlijke gerichtheid,Organisatie vermogen
0.1833393136995842,Besluitvaardigheid,Doorzettingsvermogen,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.2279860830582418,Besluitvaardigheid,Flexibiliteit,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.4650202048676486,Besluitvaardigheid,Initiatief,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.19817100227058493,Besluitvaardigheid,Inzet,Persoonlijke gerichtheid,Persoonlijke gerichtheid
-0.035652517460380104,Besluitvaardigheid,Klantoriëntatie,Persoonlijke gerichtheid,Organisatiegerichtheid
-0.2704579195156019,Besluitvaardigheid,Kwaliteitsgerichtheid,Persoonlijke gerichtheid,Organisatiegerichtheid
-0.1345701183366478,Besluitvaardigheid,Leerbereidheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
-0.21700000553468132,Besluitvaardigheid,Nauwkeurigheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.34260501614452865,Besluitvaardigheid,Onderhandelen,Persoonlijke gerichtheid,Beïnvloedend vermogen
0.45034474747287173,Besluitvaardigheid,Ondernemerschap,Persoonlijke gerichtheid,Organisatiegerichtheid
0.4676385902396524,Besluitvaardigheid,Optreden,Persoonlijke gerichtheid,Relationeel vermogen
-0.263083732574521,Besluitvaardigheid,Organisatiesensitiviteit,Persoonlijke gerichtheid,Organisatiegerichtheid
0.6555532365748071,Besluitvaardigheid,Overtuigingskracht,Persoonlijke gerichtheid,Beïnvloedend vermogen
-0.006919718537192329,Besluitvaardigheid,Plannen en organiseren,Persoonlijke gerichtheid,Organisatie vermogen
0.11751705213735744,Besluitvaardigheid,Relatiebeheer,Persoonlijke gerichtheid,Relationeel vermogen
0.28939317275209736,Besluitvaardigheid,Resultaatgerichtheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
-0.17062856859641068,Besluitvaardigheid,Samenwerking,Persoonlijke gerichtheid,Relationeel vermogen
-0.1704243991864689,Besluitvaardigheid,Sensitiviteit,Persoonlijke gerichtheid,Relationeel vermogen
0.02990666680254365,Besluitvaardigheid,Sociabiliteit,Persoonlijke gerichtheid,Relationeel vermogen
0.14923148343722273,Besluitvaardigheid,Stressbestendigheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.1735191951553822,Besluitvaardigheid,Voortgangscontrole,Persoonlijke gerichtheid,Organisatie vermogen
0.5982935789800402,Besluitvaardigheid,Zelfstandigheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.7914115502585329,Coachen van medewerkers,Delegeren,Beïnvloedend vermogen,Organisatie vermogen
0.58175422083178,Coachen van medewerkers,Doorzettingsvermogen,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.636323467967724,Coachen van medewerkers,Flexibiliteit,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.7492380643742759,Coachen van medewerkers,Initiatief,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.6958177747739528,Coachen van medewerkers,Inzet,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.8826845422907814,Coachen van medewerkers,Klantoriëntatie,Beïnvloedend vermogen,Organisatiegerichtheid
0.2002083575182261,Coachen van medewerkers,Kwaliteitsgerichtheid,Beïnvloedend vermogen,Organisatiegerichtheid
0.47783965245279225,Coachen van medewerkers,Leerbereidheid,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.18523928462387204,Coachen van medewerkers,Nauwkeurigheid,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.5592199272149587,Coachen van medewerkers,Onderhandelen,Beïnvloedend vermogen,Beïnvloedend vermogen
0.5978154589061803,Coachen van medewerkers,Ondernemerschap,Beïnvloedend vermogen,Organisatiegerichtheid
0.6991694179631364,Coachen van medewerkers,Optreden,Beïnvloedend vermogen,Relationeel vermogen
0.8189754057376307,Coachen van medewerkers,Organisatiesensitiviteit,Beïnvloedend vermogen,Organisatiegerichtheid
0.5783176724060765,Coachen van medewerkers,Overtuigingskracht,Beïnvloedend vermogen,Beïnvloedend vermogen
0.5312726919741787,Coachen van medewerkers,Plannen en organiseren,Beïnvloedend vermogen,Organisatie vermogen
0.6704781844310648,Coachen van medewerkers,Relatiebeheer,Beïnvloedend vermogen,Relationeel vermogen
0.4192123091317034,Coachen van medewerkers,Resultaatgerichtheid,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.7904098394188952,Coachen van medewerkers,Samenwerking,Beïnvloedend vermogen,Relationeel vermogen
0.9117468837317417,Coachen van medewerkers,Sensitiviteit,Beïnvloedend vermogen,Relationeel vermogen
0.9077571148798862,Coachen van medewerkers,Sociabiliteit,Beïnvloedend vermogen,Relationeel vermogen
0.5256978855422239,Coachen van medewerkers,Stressbestendigheid,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.552629285478751,Coachen van medewerkers,Voortgangscontrole,Beïnvloedend vermogen,Organisatie vermogen
-0.17617749916513917,Coachen van medewerkers,Zelfstandigheid,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.5162178419640621,Delegeren,Doorzettingsvermogen,Organisatie vermogen,Persoonlijke gerichtheid
0.5552176848673568,Delegeren,Flexibiliteit,Organisatie vermogen,Persoonlijke gerichtheid
0.7028842850689001,Delegeren,Initiatief,Organisatie vermogen,Persoonlijke gerichtheid
0.6413294154919689,Delegeren,Inzet,Organisatie vermogen,Persoonlijke gerichtheid
0.7010594581525791,Delegeren,Klantoriëntatie,Organisatie vermogen,Organisatiegerichtheid
0.06785536209425197,Delegeren,Kwaliteitsgerichtheid,Organisatie vermogen,Organisatiegerichtheid
0.4061282577969297,Delegeren,Leerbereidheid,Organisatie vermogen,Persoonlijke gerichtheid
0.06375638137988686,Delegeren,Nauwkeurigheid,Organisatie vermogen,Persoonlijke gerichtheid
0.39905672490726046,Delegeren,Onderhandelen,Organisatie vermogen,Beïnvloedend vermogen
0.5153997773121936,Delegeren,Ondernemerschap,Organisatie vermogen,Organisatiegerichtheid
0.6832944554705136,Delegeren,Optreden,Organisatie vermogen,Relationeel vermogen
0.6974984852795999,Delegeren,Organisatiesensitiviteit,Organisatie vermogen,Organisatiegerichtheid
0.5433325534515678,Delegeren,Overtuigingskracht,Organisatie vermogen,Beïnvloedend vermogen
0.35567941212560733,Delegeren,Plannen en organiseren,Organisatie vermogen,Organisatie vermogen
0.5142545801090054,Delegeren,Relatiebeheer,Organisatie vermogen,Relationeel vermogen
0.35386539374126574,Delegeren,Resultaatgerichtheid,Organisatie vermogen,Persoonlijke gerichtheid
0.8658194645848396,Delegeren,Samenwerking,Organisatie vermogen,Relationeel vermogen
0.7850059670268431,Delegeren,Sensitiviteit,Organisatie vermogen,Relationeel vermogen
0.769041759849965,Delegeren,Sociabiliteit,Organisatie vermogen,Relationeel vermogen
0.5735298727119313,Delegeren,Stressbestendigheid,Organisatie vermogen,Persoonlijke gerichtheid
0.41276622199883956,Delegeren,Voortgangscontrole,Organisatie vermogen,Organisatie vermogen
-0.1673385981255799,Delegeren,Zelfstandigheid,Organisatie vermogen,Persoonlijke gerichtheid
0.6356174152562996,Doorzettingsvermogen,Flexibiliteit,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.663697222365078,Doorzettingsvermogen,Initiatief,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.9570572465408682,Doorzettingsvermogen,Inzet,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.8078529824730145,Doorzettingsvermogen,Klantoriëntatie,Persoonlijke gerichtheid,Organisatiegerichtheid
0.5263048490370797,Doorzettingsvermogen,Kwaliteitsgerichtheid,Persoonlijke gerichtheid,Organisatiegerichtheid
0.6686641797052815,Doorzettingsvermogen,Leerbereidheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.5125145913076209,Doorzettingsvermogen,Nauwkeurigheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.8756018966477296,Doorzettingsvermogen,Onderhandelen,Persoonlijke gerichtheid,Beïnvloedend vermogen
0.8402638303740797,Doorzettingsvermogen,Ondernemerschap,Persoonlijke gerichtheid,Organisatiegerichtheid
0.667971732667296,Doorzettingsvermogen,Optreden,Persoonlijke gerichtheid,Relationeel vermogen
0.5686698771279343,Doorzettingsvermogen,Organisatiesensitiviteit,Persoonlijke gerichtheid,Organisatiegerichtheid
0.5858893032284136,Doorzettingsvermogen,Overtuigingskracht,Persoonlijke gerichtheid,Beïnvloedend vermogen
0.826263529250723,Doorzettingsvermogen,Plannen en organiseren,Persoonlijke gerichtheid,Organisatie vermogen
0.6486757609637069,Doorzettingsvermogen,Relatiebeheer,Persoonlijke gerichtheid,Relationeel vermogen
0.8195541506051497,Doorzettingsvermogen,Resultaatgerichtheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.5486608540167107,Doorzettingsvermogen,Samenwerking,Persoonlijke gerichtheid,Relationeel vermogen
0.6138064275664372,Doorzettingsvermogen,Sensitiviteit,Persoonlijke gerichtheid,Relationeel vermogen
0.7280615224615249,Doorzettingsvermogen,Sociabiliteit,Persoonlijke gerichtheid,Relationeel vermogen
0.7786025768901909,Doorzettingsvermogen,Stressbestendigheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.8356240156593144,Doorzettingsvermogen,Voortgangscontrole,Persoonlijke gerichtheid,Organisatie vermogen
0.256101364807597,Doorzettingsvermogen,Zelfstandigheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.7210746461161046,Flexibiliteit,Initiatief,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.6953451524635238,Flexibiliteit,Inzet,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.6700633642245444,Flexibiliteit,Klantoriëntatie,Persoonlijke gerichtheid,Organisatiegerichtheid
0.10182142009148677,Flexibiliteit,Kwaliteitsgerichtheid,Persoonlijke gerichtheid,Organisatiegerichtheid
0.6979380001521693,Flexibiliteit,Leerbereidheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.05673421503094944,Flexibiliteit,Nauwkeurigheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.6270303082723903,Flexibiliteit,Onderhandelen,Persoonlijke gerichtheid,Beïnvloedend vermogen
0.7485909167151242,Flexibiliteit,Ondernemerschap,Persoonlijke gerichtheid,Organisatiegerichtheid
0.6166300394415266,Flexibiliteit,Optreden,Persoonlijke gerichtheid,Relationeel vermogen
0.5342990280113518,Flexibiliteit,Organisatiesensitiviteit,Persoonlijke gerichtheid,Organisatiegerichtheid
0.6573486406934289,Flexibiliteit,Overtuigingskracht,Persoonlijke gerichtheid,Beïnvloedend vermogen
0.5121721179002174,Flexibiliteit,Plannen en organiseren,Persoonlijke gerichtheid,Organisatie vermogen
0.541208196997525,Flexibiliteit,Relatiebeheer,Persoonlijke gerichtheid,Relationeel vermogen
0.5631690101170393,Flexibiliteit,Resultaatgerichtheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.46724444331539056,Flexibiliteit,Samenwerking,Persoonlijke gerichtheid,Relationeel vermogen
0.6519029079967315,Flexibiliteit,Sensitiviteit,Persoonlijke gerichtheid,Relationeel vermogen
0.6254614010321128,Flexibiliteit,Sociabiliteit,Persoonlijke gerichtheid,Relationeel vermogen
0.5615622186839733,Flexibiliteit,Stressbestendigheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.4602970032487104,Flexibiliteit,Voortgangscontrole,Persoonlijke gerichtheid,Organisatie vermogen
-0.033363451776504884,Flexibiliteit,Zelfstandigheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.8019773075525212,Initiatief,Inzet,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.7663153300951979,Initiatief,Klantoriëntatie,Persoonlijke gerichtheid,Organisatiegerichtheid
0.1910243759587388,Initiatief,Kwaliteitsgerichtheid,Persoonlijke gerichtheid,Organisatiegerichtheid
0.3353718390933908,Initiatief,Leerbereidheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.21416328672198773,Initiatief,Nauwkeurigheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.7361215561879265,Initiatief,Onderhandelen,Persoonlijke gerichtheid,Beïnvloedend vermogen
0.8753719684722517,Initiatief,Ondernemerschap,Persoonlijke gerichtheid,Organisatiegerichtheid
0.9121990045692628,Initiatief,Optreden,Persoonlijke gerichtheid,Relationeel vermogen
0.4810296312037445,Initiatief,Organisatiesensitiviteit,Persoonlijke gerichtheid,Organisatiegerichtheid
0.824176413569397,Initiatief,Overtuigingskracht,Persoonlijke gerichtheid,Beïnvloedend vermogen
0.6083080553062569,Initiatief,Plannen en organiseren,Persoonlijke gerichtheid,Organisatie vermogen
0.8289742748948318,Initiatief,Relatiebeheer,Persoonlijke gerichtheid,Relationeel vermogen
0.5892245252240396,Initiatief,Resultaatgerichtheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.6263760728766143,Initiatief,Samenwerking,Persoonlijke gerichtheid,Relationeel vermogen
0.622547941000921,Initiatief,Sensitiviteit,Persoonlijke gerichtheid,Relationeel vermogen
0.838553496209593,Initiatief,Sociabiliteit,Persoonlijke gerichtheid,Relationeel vermogen
0.5389147042217278,Initiatief,Stressbestendigheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.7005785603780667,Initiatief,Voortgangscontrole,Persoonlijke gerichtheid,Organisatie vermogen
0.07918317401347084,Initiatief,Zelfstandigheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.8775318947166981,Inzet,Klantoriëntatie,Persoonlijke gerichtheid,Organisatiegerichtheid
0.48963044185923216,Inzet,Kwaliteitsgerichtheid,Persoonlijke gerichtheid,Organisatiegerichtheid
0.6397202128378431,Inzet,Leerbereidheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.4906347890756345,Inzet,Nauwkeurigheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.8517838854675723,Inzet,Onderhandelen,Persoonlijke gerichtheid,Beïnvloedend vermogen
0.8702297067401011,Inzet,Ondernemerschap,Persoonlijke gerichtheid,Organisatiegerichtheid
0.769211714522202,Inzet,Optreden,Persoonlijke gerichtheid,Relationeel vermogen
0.6515539916448837,Inzet,Organisatiesensitiviteit,Persoonlijke gerichtheid,Organisatiegerichtheid
0.6242570797123848,Inzet,Overtuigingskracht,Persoonlijke gerichtheid,Beïnvloedend vermogen
0.8302714953795246,Inzet,Plannen en organiseren,Persoonlijke gerichtheid,Organisatie vermogen
0.7539431593017211,Inzet,Relatiebeheer,Persoonlijke gerichtheid,Relationeel vermogen
0.7902391079177921,Inzet,Resultaatgerichtheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.6743949806666154,Inzet,Samenwerking,Persoonlijke gerichtheid,Relationeel vermogen
0.7115306092313763,Inzet,Sensitiviteit,Persoonlijke gerichtheid,Relationeel vermogen
0.8423919059022154,Inzet,Sociabiliteit,Persoonlijke gerichtheid,Relationeel vermogen
0.7533062851491206,Inzet,Stressbestendigheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.8609779504006803,Inzet,Voortgangscontrole,Persoonlijke gerichtheid,Organisatie vermogen
0.14946397376093373,Inzet,Zelfstandigheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid
0.4199106083140331,Klantoriëntatie,Kwaliteitsgerichtheid,Organisatiegerichtheid,Organisatiegerichtheid
0.5968743721578853,Klantoriëntatie,Leerbereidheid,Organisatiegerichtheid,Persoonlijke gerichtheid
0.40600080761614615,Klantoriëntatie,Nauwkeurigheid,Organisatiegerichtheid,Persoonlijke gerichtheid
0.7374717756060746,Klantoriëntatie,Onderhandelen,Organisatiegerichtheid,Beïnvloedend vermogen
0.7346141025594782,Klantoriëntatie,Ondernemerschap,Organisatiegerichtheid,Organisatiegerichtheid
0.7227357445486963,Klantoriëntatie,Optreden,Organisatiegerichtheid,Relationeel vermogen
0.8133109389157421,Klantoriëntatie,Organisatiesensitiviteit,Organisatiegerichtheid,Organisatiegerichtheid
0.5708887466238353,Klantoriëntatie,Overtuigingskracht,Organisatiegerichtheid,Beïnvloedend vermogen
0.7239473852799047,Klantoriëntatie,Plannen en organiseren,Organisatiegerichtheid,Organisatie vermogen
0.7733166446830126,Klantoriëntatie,Relatiebeheer,Organisatiegerichtheid,Relationeel vermogen
0.5695581181857656,Klantoriëntatie,Resultaatgerichtheid,Organisatiegerichtheid,Persoonlijke gerichtheid
0.8278299412163315,Klantoriëntatie,Samenwerking,Organisatiegerichtheid,Relationeel vermogen
0.9145652413870026,Klantoriëntatie,Sensitiviteit,Organisatiegerichtheid,Relationeel vermogen
