Correlation,Subkenmerk 1,Subkenmerk 2,Hoofdkenmerk 1,Hoofdkenmerk 2
0.3240383532909874,Frustratietolerantie,Variatiebehoefte,Stabiliteit,Gedrevenheid
0.3189979910584349,Frustratietolerantie,Vertrouwen,Stabiliteit,Sociabiliteit
0.41032455460241096,Frustratietolerantie,Volharding,Stabiliteit,Gedrevenheid
0.5635159566419081,Frustratietolerantie,Weloverwogen,Stabiliteit,Structuur
-0.14144535275565018,Frustratietolerantie,Zelfonthulling,Stabiliteit,Sociabiliteit
0.47026774677007205,Frustratietolerantie,Zelfontwikkeling,Stabiliteit,Gedrevenheid
-0.07254823682711306,Frustratietolerantie,Zelfvertoon,Stabiliteit,Invloed
0.34684702273936296,Frustratietolerantie,Zelfvertrouwen,Stabiliteit,Stabiliteit
0.2622908902971484,Frustratietolerantie,Zorgzaamheid,Stabiliteit,Sociabiliteit
0.5162671675454715,Hartelijkheid,Incasseringsvermogen,Sociabiliteit,Stabiliteit
0.41032591820171854,Hartelijkheid,Nauwkeurigheid,Sociabiliteit,Structuur
-0.2152508056799475,Hartelijkheid,Onafhankelijkheid,Sociabiliteit,Gedrevenheid
0.4763745661377253,Hartelijkheid,Ordelijkheid,Sociabiliteit,Structuur
0.002887209518027038,Hartelijkheid,Originaliteit,Sociabiliteit,Gedrevenheid
0.597626433017199,Hartelijkheid,Positivisme,Sociabiliteit,Stabiliteit
-0.04472331465128605,Hartelijkheid,Regelmaat,Sociabiliteit,Structuur
0.7478581762287169,Hartelijkheid,Sociaal Ontspannen,Sociabiliteit,Sociabiliteit
0.2572473068702468,Hartelijkheid,Status,Sociabiliteit,Invloed
0.5333704642876658,Hartelijkheid,Variatiebehoefte,Sociabiliteit,Gedrevenheid
0.33043131001437437,Hartelijkheid,Vertrouwen,Sociabiliteit,Sociabiliteit
0.5716343918009835,Hartelijkheid,Volharding,Sociabiliteit,Gedrevenheid
0.22111353656525906,Hartelijkheid,Weloverwogen,Sociabiliteit,Structuur
0.3148324186583482,Hartelijkheid,Zelfonthulling,Sociabiliteit,Sociabiliteit
0.4614764292483445,Hartelijkheid,Zelfontwikkeling,Sociabiliteit,Gedrevenheid
0.5888948325040901,Hartelijkheid,Zelfvertoon,Sociabiliteit,Invloed
0.4401755990605522,Hartelijkheid,Zelfvertrouwen,Sociabiliteit,Stabiliteit
0.4819607674267969,Hartelijkheid,Zorgzaamheid,Sociabiliteit,Sociabiliteit
0.1844731590733087,Incasseringsvermogen,Nauwkeurigheid,Stabiliteit,Structuur
0.002581393524690327,Incasseringsvermogen,Onafhankelijkheid,Stabiliteit,Gedrevenheid
0.11432166271052263,Incasseringsvermogen,Ordelijkheid,Stabiliteit,Structuur
0.29614937434053074,Incasseringsvermogen,Originaliteit,Stabiliteit,Gedrevenheid
0.5798600803180013,Incasseringsvermogen,Positivisme,Stabiliteit,Stabiliteit
-0.004054996280465266,Incasseringsvermogen,Regelmaat,Stabiliteit,Structuur
0.25887866491667666,Incasseringsvermogen,Sociaal Ontspannen,Stabiliteit,Sociabiliteit
0.1585256209969603,Incasseringsvermogen,Status,Stabiliteit,Invloed
0.37471521847067946,Incasseringsvermogen,Variatiebehoefte,Stabiliteit,Gedrevenheid
0.2577374219958693,Incasseringsvermogen,Vertrouwen,Stabiliteit,Sociabiliteit
0.5021509754635951,Incasseringsvermogen,Volharding,Stabiliteit,Gedrevenheid
0.3077171680423045,Incasseringsvermogen,Weloverwogen,Stabiliteit,Structuur
0.09757721912052858,Incasseringsvermogen,Zelfonthulling,Stabiliteit,Sociabiliteit
0.476952457544028,Incasseringsvermogen,Zelfontwikkeling,Stabiliteit,Gedrevenheid
0.18351153285514796,Incasseringsvermogen,Zelfvertoon,Stabiliteit,Invloed
0.5828812656572577,Incasseringsvermogen,Zelfvertrouwen,Stabiliteit,Stabiliteit
0.3393735846694716,Incasseringsvermogen,Zorgzaamheid,Stabiliteit,Sociabiliteit
-0.16065575887837602,Nauwkeurigheid,Onafhankelijkheid,Structuur,Gedrevenheid
0.6159069628979132,Nauwkeurigheid,Ordelijkheid,Structuur,Structuur
-0.030873783777904774,Nauwkeurigheid,Originaliteit,Structuur,Gedrevenheid
0.1688057578209399,Nauwkeurigheid,Positivisme,Structuur,Stabiliteit
-0.07251065665397752,Nauwkeurigheid,Regelmaat,Structuur,Structuur
0.3135745977916586,Nauwkeurigheid,Sociaal Ontspannen,Structuur,Sociabiliteit
0.21832767355334443,Nauwkeurigheid,Status,Structuur,Invloed
0.29959187473702614,Nauwkeurigheid,Variatiebehoefte,Structuur,Gedrevenheid
-0.08066655664718377,Nauwkeurigheid,Vertrouwen,Structuur,Sociabiliteit
0.4713671155750916,Nauwkeurigheid,Volharding,Structuur,Gedrevenheid
0.4116813450909684,Nauwkeurigheid,Weloverwogen,Structuur,Structuur
0.15370356007715144,Nauwkeurigheid,Zelfonthulling,Structuur,Sociabiliteit
0.3531248016934353,Nauwkeurigheid,Zelfontwikkeling,Structuur,Gedrevenheid
0.12939475987895033,Nauwkeurigheid,Zelfvertoon,Structuur,Invloed
0.19088062627399355,Nauwkeurigheid,Zelfvertrouwen,Structuur,Stabiliteit
0.18056546218135514,Nauwkeurigheid,Zorgzaamheid,Structuur,Sociabiliteit
-0.15885005511667058,Onafhankelijkheid,Ordelijkheid,Gedrevenheid,Structuur
0.2638902853215019,Onafhankelijkheid,Originaliteit,Gedrevenheid,Gedrevenheid
-0.09929465166578103,Onafhankelijkheid,Positivisme,Gedrevenheid,Stabiliteit
0.2725387891399169,Onafhankelijkheid,Regelmaat,Gedrevenheid,Structuur
-0.14112089117147025,Onafhankelijkheid,Sociaal Ontspannen,Gedrevenheid,Sociabiliteit
-0.06821369784907144,Onafhankelijkheid,Status,Gedrevenheid,Invloed
-0.14815925269012506,Onafhankelijkheid,Variatiebehoefte,Gedrevenheid,Gedrevenheid
-0.3913363287247779,Onafhankelijkheid,Vertrouwen,Gedrevenheid,Sociabiliteit
-0.13626411563052598,Onafhankelijkheid,Volharding,Gedrevenheid,Gedrevenheid
0.006265746860401256,Onafhankelijkheid,Weloverwogen,Gedrevenheid,Structuur
-0.10330669598949177,Onafhankelijkheid,Zelfonthulling,Gedrevenheid,Sociabiliteit
-0.1547084884341554,Onafhankelijkheid,Zelfontwikkeling,Gedrevenheid,Gedrevenheid
0.0538460831958435,Onafhankelijkheid,Zelfvertoon,Gedrevenheid,Invloed
0.16662371155076958,Onafhankelijkheid,Zelfvertrouwen,Gedrevenheid,Stabiliteit
-0.2258567519959186,Onafhankelijkheid,Zorgzaamheid,Gedrevenheid,Sociabiliteit
-0.013233106235664843,Ordelijkheid,Originaliteit,Structuur,Gedrevenheid
0.1522644179720085,Ordelijkheid,Positivisme,Structuur,Stabiliteit
-0.17077485608358095,Ordelijkheid,Regelmaat,Structuur,Structuur
0.3780037452375285,Ordelijkheid,Sociaal Ontspannen,Structuur,Sociabiliteit
0.225741330823895,Ordelijkheid,Status,Structuur,Invloed
0.34984042773527174,Ordelijkheid,Variatiebehoefte,Structuur,Gedrevenheid
-0.22367781770834066,Ordelijkheid,Vertrouwen,Structuur,Sociabiliteit
0.560490841933247,Ordelijkheid,Volharding,Structuur,Gedrevenheid
0.3161874570415635,Ordelijkheid,Weloverwogen,Structuur,Structuur
0.12278176396244936,Ordelijkheid,Zelfonthulling,Structuur,Sociabiliteit
0.3432961256538328,Ordelijkheid,Zelfontwikkeling,Structuur,Gedrevenheid
0.12638264799380425,Ordelijkheid,Zelfvertoon,Structuur,Invloed
0.16862329152113076,Ordelijkheid,Zelfvertrouwen,Structuur,Stabiliteit
0.29804803649137773,Ordelijkheid,Zorgzaamheid,Structuur,Sociabiliteit
0.1606078568153091,Originaliteit,Positivisme,Gedrevenheid,Stabiliteit
-0.2120696087285624,Originaliteit,Regelmaat,Gedrevenheid,Structuur
0.0432205623586517,Originaliteit,Sociaal Ontspannen,Gedrevenheid,Sociabiliteit
-0.10743869179004228,Originaliteit,Status,Gedrevenheid,Invloed
0.4928386513924902,Originaliteit,Variatiebehoefte,Gedrevenheid,Gedrevenheid
0.11308533229890998,Originaliteit,Vertrouwen,Gedrevenheid,Sociabiliteit
0.1857651041558561,Originaliteit,Volharding,Gedrevenheid,Gedrevenheid
0.023296144324720366,Originaliteit,Weloverwogen,Gedrevenheid,Structuur
-0.11249080619247508,Originaliteit,Zelfonthulling,Gedrevenheid,Sociabiliteit
0.30868946260736835,Originaliteit,Zelfontwikkeling,Gedrevenheid,Gedrevenheid
-0.09225104023766542,Originaliteit,Zelfvertoon,Gedrevenheid,Invloed
0.28491762341548604,Originaliteit,Zelfvertrouwen,Gedrevenheid,Stabiliteit
0.07257225135374126,Originaliteit,Zorgzaamheid,Gedrevenheid,Sociabiliteit
-0.11527903920195448,Positivisme,Regelmaat,Stabiliteit,Structuur
0.26085159435325733,Positivisme,Sociaal Ontspannen,Stabiliteit,Sociabiliteit
-0.028240463404084613,Positivisme,Status,Stabiliteit,Invloed
0.38200494991914274,Positivisme,Variatiebehoefte,Stabiliteit,Gedrevenheid
0.5058937531033976,Positivisme,Vertrouwen,Stabiliteit,Sociabiliteit
0.5926961864566701,Positivisme,Volharding,Stabiliteit,Gedrevenheid
0.1354323735538369,Positivisme,Weloverwogen,Stabiliteit,Structuur
0.15212157942461133,Positivisme,Zelfonthulling,Stabiliteit,Sociabiliteit
0.4751096417120244,Positivisme,Zelfontwikkeling,Stabiliteit,Gedrevenheid
0.03600047986934624,Positivisme,Zelfvertoon,Stabiliteit,Invloed
0.47070670672115283,Positivisme,Zelfvertrouwen,Stabiliteit,Stabiliteit
0.3509812993218173,Positivisme,Zorgzaamheid,Stabiliteit,Sociabiliteit
-0.14162353739516365,Regelmaat,Sociaal Ontspannen,Structuur,Sociabiliteit
-0.1515254932195396,Regelmaat,Status,Structuur,Invloed
-0.4882982295376374,Regelmaat,Variatiebehoefte,Structuur,Gedrevenheid
-0.1293997491158673,Regelmaat,Vertrouwen,Structuur,Sociabiliteit
-0.26729102408281635,Regelmaat,Volharding,Structuur,Gedrevenheid
-0.007549708607842493,Regelmaat,Weloverwogen,Structuur,Structuur
-0.0993497433905586,Regelmaat,Zelfonthulling,Structuur,Sociabiliteit
-0.30881242172978657,Regelmaat,Zelfontwikkeling,Structuur,Gedrevenheid
0.06915513768090299,Regelmaat,Zelfvertoon,Structuur,Invloed
-0.10962123429501237,Regelmaat,Zelfvertrouwen,Structuur,Stabiliteit
-0.16182893733244366,Regelmaat,Zorgzaamheid,Structuur,Sociabiliteit
0.22167483184440206,Sociaal Ontspannen,Status,Sociabiliteit,Invloed
0.5469849486523606,Sociaal Ontspannen,Variatiebehoefte,Sociabiliteit,Gedrevenheid
0.20540048045672293,Sociaal Ontspannen,Vertrouwen,Sociabiliteit,Sociabiliteit
0.3128916442511097,Sociaal Ontspannen,Volharding,Sociabiliteit,Gedrevenheid
0.1777507343879051,Sociaal Ontspannen,Weloverwogen,Sociabiliteit,Structuur
0.4200050197975579,Sociaal Ontspannen,Zelfonthulling,Sociabiliteit,Sociabiliteit
0.24009200576670345,Sociaal Ontspannen,Zelfontwikkeling,Sociabiliteit,Gedrevenheid
0.705715663565438,Sociaal Ontspannen,Zelfvertoon,Sociabiliteit,Invloed
0.4589747899995451,Sociaal Ontspannen,Zelfvertrouwen,Sociabiliteit,Stabiliteit
0.29298496847607597,Sociaal Ontspannen,Zorgzaamheid,Sociabiliteit,Sociabiliteit
0.2671607080349802,Status,Variatiebehoefte,Invloed,Gedrevenheid
-0.2089297220118381,Status,Vertrouwen,Invloed,Sociabiliteit
0.2060031543149845,Status,Volharding,Invloed,Gedrevenheid
0.10206437128540934,Status,Weloverwogen,Invloed,Structuur
0.00953192695265946,Status,Zelfonthulling,Invloed,Sociabiliteit
0.3202210983654544,Status,Zelfontwikkeling,Invloed,Gedrevenheid
0.3307939503227768,Status,Zelfvertoon,Invloed,Invloed
0.2084088442751906,Status,Zelfvertrouwen,Invloed,Stabiliteit
-0.10995414366402761,Status,Zorgzaamheid,Invloed,Sociabiliteit
0.34301115643507013,Variatiebehoefte,Vertrouwen,Gedrevenheid,Sociabiliteit
0.5486520495320816,Variatiebehoefte,Volharding,Gedrevenheid,Gedrevenheid
0.017140018995848973,Variatiebehoefte,Weloverwogen,Gedrevenheid,Structuur
0.32184297826022684,Variatiebehoefte,Zelfonthulling,Gedrevenheid,Sociabiliteit
0.6679422820996918,Variatiebehoefte,Zelfontwikkeling,Gedrevenheid,Gedrevenheid
0.3207383384112132,Variatiebehoefte,Zelfvertoon,Gedrevenheid,Invloed
0.45502725596844373,Variatiebehoefte,Zelfvertrouwen,Gedrevenheid,Stabiliteit
0.43632153283251757,Variatiebehoefte,Zorgzaamheid,Gedrevenheid,Sociabiliteit
0.19216837373396953,Vertrouwen,Volharding,Sociabiliteit,Gedrevenheid
-0.2383605621758385,Vertrouwen,Weloverwogen,Sociabiliteit,Structuur
0.2564006323760369,Vertrouwen,Zelfonthulling,Sociabiliteit,Sociabiliteit
0.25618074718556333,Vertrouwen,Zelfontwikkeling,Sociabiliteit,Gedrevenheid
0.021001194867170742,Vertrouwen,Zelfvertoon,Sociabiliteit,Invloed
0.14917117669229185,Vertrouwen,Zelfvertrouwen,Sociabiliteit,Stabiliteit
0.149354142056273,Vertrouwen,Zorgzaamheid,Sociabiliteit,Sociabiliteit
0.29364832143452496,Volharding,Weloverwogen,Gedrevenheid,Structuur
0.1860823194883421,Volharding,Zelfonthulling,Gedrevenheid,Sociabiliteit
0.6808380119233678,Volharding,Zelfontwikkeling,Gedrevenheid,Gedrevenheid
0.12428782375200241,Volharding,Zelfvertoon,Gedrevenheid,Invloed
0.5210535383699066,Volharding,Zelfvertrouwen,Gedrevenheid,Stabiliteit
0.4486819609940657,Volharding,Zorgzaamheid,Gedrevenheid,Sociabiliteit
-0.15759228957674484,Weloverwogen,Zelfonthulling,Structuur,Sociabiliteit
0.2240966474031542,Weloverwogen,Zelfontwikkeling,Structuur,Gedrevenheid
-0.05753820965231036,Weloverwogen,Zelfvertoon,Structuur,Invloed
0.1305552606367851,Weloverwogen,Zelfvertrouwen,Structuur,Stabiliteit
0.21326039025162452,Weloverwogen,Zorgzaamheid,Structuur,Sociabiliteit
0.17234135078497465,Zelfonthulling,Zelfontwikkeling,Sociabiliteit,Gedrevenheid
0.43532842630651963,Zelfonthulling,Zelfvertoon,Sociabiliteit,Invloed
0.3509095188578031,Zelfonthulling,Zelfvertrouwen,Sociabiliteit,Stabiliteit
0.341537791048216,Zelfonthulling,Zorgzaamheid,Sociabiliteit,Sociabiliteit
0.049753648729392495,Zelfontwikkeling,Zelfvertoon,Gedrevenheid,Invloed
0.30873126097556725,Zelfontwikkeling,Zelfvertrouwen,Gedrevenheid,Stabiliteit
0.39534223369072974,Zelfontwikkeling,Zorgzaamheid,Gedrevenheid,Sociabiliteit
0.39996142671495816,Zelfvertoon,Zelfvertrouwen,Invloed,Stabiliteit
0.25060240272638185,Zelfvertoon,Zorgzaamheid,Invloed,Sociabiliteit
0.25165744493445574,Zelfvertrouwen,Zorgzaamheid,Stabiliteit,Sociabiliteit
